run,Accuracy,Precision,Recall,F1,F2,F0.5,Average Precision
1,0.9863383066690634,0.8695652173913043,0.36363636363636365,0.5128205128205129,0.411522633744856,0.6802721088435374,0.3287886721911216
2,0.9850799928096351,1.0,0.24545454545454545,0.39416058394160586,0.2890792291220557,0.6192660550458715,0.2603745526449104
3,0.985439511055186,0.9393939393939394,0.2818181818181818,0.4335664335664336,0.3276955602536997,0.6404958677685951,0.2789392627102823
4,0.9845407154413086,0.9285714285714286,0.23636363636363636,0.37681159420289856,0.2777777777777778,0.5855855855855855,0.23458028579365986
5,0.9852597519324106,0.8181818181818182,0.32727272727272727,0.4675324675324675,0.371900826446281,0.6293706293706293,0.2810707701267079
6,0.9863383066690634,0.9047619047619048,0.34545454545454546,0.5,0.39419087136929465,0.683453237410072,0.3254967693939472
7,0.9859787884235125,0.9444444444444444,0.3090909090909091,0.4657534246575342,0.3571428571428571,0.6692913385826771,0.30558088525012844
8,0.9850799928096351,0.813953488372093,0.3181818181818182,0.45751633986928103,0.36231884057971014,0.6205673758865249,0.272467135053827
9,0.985799029300737,0.918918918918919,0.3090909090909091,0.46258503401360546,0.35639412997903563,0.6589147286821706,0.29769117736042056
10,0.9850799928096351,0.8648648648648649,0.2909090909090909,0.4353741496598639,0.3354297693920335,0.6201550387596899,0.2656182631735391
11,0.986158547546288,0.9230769230769231,0.32727272727272727,0.4832214765100671,0.37578288100208773,0.6766917293233083,0.31540007718328766
12,0.9814848103541255,0.64,0.14545454545454545,0.23703703703703705,0.17204301075268816,0.380952380952381,0.10998826663180428
13,0.985439511055186,0.8918918918918919,0.3,0.44897959183673464,0.3459119496855346,0.6395348837209303,0.2814090200212796
14,0.9849002336868596,0.8611111111111112,0.2818181818181818,0.4246575342465754,0.3256302521008403,0.6102362204724409,0.2568777383760307
15,0.9852597519324106,0.868421052631579,0.3,0.4459459459459459,0.34518828451882844,0.6297709923664122,0.2743677682431857
16,0.9849002336868596,0.825,0.3,0.43999999999999995,0.34375000000000006,0.6111111111111112,0.261341452453712
17,0.9859787884235125,1.0,0.2909090909090909,0.45070422535211263,0.3389830508474576,0.6722689075630253,0.3049303024855784
18,0.9847204745640842,0.9310344827586207,0.24545454545454545,0.3884892086330935,0.2878464818763326,0.5973451327433628,0.24344665295838996
19,0.985439511055186,1.0,0.2636363636363636,0.41726618705035967,0.30916844349680167,0.6415929203539822,0.27819685258117755
20,0.9847204745640842,0.9629629629629629,0.23636363636363636,0.3795620437956204,0.278372591006424,0.5963302752293578,0.24270919392256798
21,0.985799029300737,0.8780487804878049,0.32727272727272727,0.4768211920529801,0.3742203742203743,0.6569343065693432,0.3006635941541217
22,0.9852597519324106,0.9117647058823529,0.2818181818181818,0.4305555555555556,0.3270042194092827,0.6300813008130081,0.27115284235701703
23,0.986518065791839,0.9487179487179487,0.33636363636363636,0.4966442953020134,0.3862212943632568,0.6954887218045113,0.3322366350768292
24,0.9859787884235125,0.9705882352941176,0.3,0.4583333333333333,0.3481012658227848,0.6707317073170732,0.3050179230419473
25,0.9850799928096351,0.9090909090909091,0.2727272727272727,0.4195804195804196,0.3171247357293869,0.6198347107438016,0.2623146141195591
