run,f40_maxidf_jira_all_as_query,f13_ir_log_and_summary_summary_as_query,f1_assignee_is_commiter,f43_maxidf_jira_summary_as_query,f46_maxidf_jira_description_as_query,f24_ir_svn_all_and_summary_svn_all_as_query,f127_maxpmi_jira_all_as_query,f17_ir_log_and_jira_all_jira_all_as_query,f12_ir_log_and_summary_log_as_query,f16_ir_log_and_jira_all_log_as_query,f44_devidf_jira_summary_as_query,f28_ir_svn_all_and_jira_all_svn_all_as_query,f25_ir_svn_all_and_summary_summary_as_query,f15_ir_log_and_description_description_as_query,f29_ir_svn_all_and_jira_all_jira_all_as_query,f18_ir_unitname_and_summary_unitname_as_query,f26_ir_svn_all_and_description_svn_all_as_query,f10_overlap_terms_to_svn,f2_timedif_issuecreation_and_commitcreation,f11_overlap_terms_to_union,f27_ir_svn_all_and_description_description_as_query,f22_ir_unitname_and_jira_all_unitname_as_query,f3_timedif_issueupdated_and_commitcreation,f19_ir_unitname_and_summary_summary_as_query,f9_overlap_terms_compared_to_jira,f23_ir_unitname_and_jira_all_jira_all_as_query,f4_timedif_issueresolved_and_commitcreation,f60_avgictf_jira_summary_as_query,f112_maxscq_jira_all_as_query,f20_ir_unitname_and_description_unitname_as_query,f126_avgpmi_jira_all_as_query,f99_scs_jira_all_as_query,f21_ir_unitname_and_description_description_as_query,f100_scs_jira_summary_as_query,f62_devictf_jira_summary_as_query,f101_scs_jira_description_as_query,f118_maxscq_jira_description_as_query,f128_avgpmi_jira_summary_as_query,f14_ir_log_and_description_log_as_query,f89_deventropy_jira_description_as_query
1,0.0,0.14336781203746796,0.058581382036209106,0.0,0.0,0.037725020200014114,0.0,0.027301529422402382,0.022036468610167503,0.016126619651913643,0.00964563712477684,0.02156546525657177,0.02859026938676834,0.011527767404913902,0.033379603177309036,0.09901627153158188,0.0064832353964447975,0.018074972555041313,0.015961304306983948,0.0127855921164155,0.014517882838845253,0.012080728076398373,0.02741515450179577,0.08359721302986145,0.004597724415361881,0.005096703767776489,0.06773167848587036,0.02326650172472,0.022966939955949783,0.024089239537715912,0.020443597808480263,0.011474257335066795,0.02391020581126213,0.010360313579440117,0.02338545024394989,0.0026273797266185284,0.010700789280235767,0.01021528709679842,0.010719820857048035,0.02863425947725773
2,0.0,0.1053890734910965,0.06870383024215698,0.0,0.0,0.10492738336324692,0.0,0.01227208785712719,0.03028649277985096,0.028233684599399567,0.017618553712964058,0.016984153538942337,0.03859243169426918,0.0064698634669184685,0.053162582218647,0.04479408636689186,0.015462758019566536,0.012004273012280464,0.017673397436738014,0.016948631033301353,0.016294749453663826,0.02503422647714615,0.03318750858306885,0.03584352508187294,0.01372287143021822,0.006853336002677679,0.0664374902844429,0.026903346180915833,0.022517072036862373,0.02694290317595005,0.027259809896349907,0.012238744646310806,0.0040817721746861935,0.017955830320715904,0.014747905544936657,0.001741889864206314,0.010274498723447323,0.01765923574566841,0.013110681436955929,0.01766926422715187
3,0.0,0.16152100265026093,0.06557539850473404,0.0,0.0,0.03631412610411644,0.0,0.019752884283661842,0.04453105852007866,0.028507575392723083,0.013598025776445866,0.004134952090680599,0.041551683098077774,0.024945951998233795,0.03116356022655964,0.02642820030450821,0.00672626867890358,0.01696484349668026,0.018718300387263298,0.014968588016927242,0.009178873151540756,0.001941364142112434,0.029464825987815857,0.04864450544118881,0.008918746374547482,0.023612555116415024,0.08166592568159103,0.034808896481990814,0.02422660030424595,0.015835702419281006,0.02390163019299507,0.014406131580471992,0.016857217997312546,0.019089894369244576,0.009467686526477337,0.00975312665104866,0.013440834358334541,0.009456668049097061,0.012847790494561195,0.03707863762974739
4,0.0,0.10061652213335037,0.05038940906524658,0.0,0.0,0.04180392995476723,0.0,0.034007009118795395,0.027990756556391716,0.038250457495450974,0.019063197076320648,0.017061443999409676,0.06679657846689224,0.021817555651068687,0.03386400267481804,0.06305410712957382,0.012103073298931122,0.01918668858706951,0.01887190341949463,0.015170340426266193,0.011469807475805283,0.025653501972556114,0.026962894946336746,0.0013276267563924193,0.011153050698339939,0.005902803037315607,0.07079899311065674,0.028769563883543015,0.014405729249119759,0.015142559073865414,0.014660419896245003,0.015413403511047363,0.0964411124587059,0.008564511314034462,0.009149310179054737,0.00877766776829958,0.010229320265352726,0.0069724926725029945,0.01691005937755108,0.021248212084174156
5,0.0,0.1531856656074524,0.06773464381694794,0.0,0.0,0.03063930757343769,0.0,0.018809378147125244,0.04362882301211357,0.03264431655406952,0.020708275958895683,0.00912570208311081,0.02310209348797798,0.006528894416987896,0.06994916498661041,0.06868637353181839,0.009611844085156918,0.012468031607568264,0.01711214706301689,0.01695241592824459,0.008192132227122784,0.01594736985862255,0.029894396662712097,0.06396633386611938,0.0067163738422095776,0.01167223509401083,0.06307939440011978,0.02307266928255558,0.01949586160480976,0.009993799030780792,0.014476683922111988,0.008692514151334763,0.021538561210036278,0.012808529660105705,0.012610469944775105,0.00902382843196392,0.020620575174689293,0.011442015878856182,0.005298661068081856,0.03057054989039898
6,0.0,0.1372547149658203,0.06774990260601044,0.0,0.0,0.058079205453395844,0.0,0.015518475323915482,0.05048618093132973,0.03396666795015335,0.03491140902042389,0.01285233348608017,0.03257182240486145,0.005130061414092779,0.04333074018359184,0.017724579200148582,0.012066575698554516,0.008552814833819866,0.018522456288337708,0.023314421996474266,0.007137299980968237,0.006151136010885239,0.025941520929336548,0.06352130323648453,0.013848935253918171,0.019987694919109344,0.0676448866724968,0.029274018481373787,0.029365111142396927,0.0071147410199046135,0.03984057158231735,0.00960632599890232,0.015059509314596653,0.01143031008541584,0.010314005427062511,0.0034316079691052437,0.015907568857073784,0.015810243785381317,0.009739475324749947,0.026841336861252785
7,0.0,0.11829742044210434,0.060857463628053665,0.0,0.0,0.08283580094575882,0.0,0.023870524019002914,0.028893467038869858,0.005924553610384464,0.03533104434609413,0.005046403501182795,0.03450966626405716,0.0197426900267601,0.04884348064661026,0.11736898124217987,0.01555014681071043,0.008792849257588387,0.017013730481266975,0.013743470422923565,0.00714525580406189,0.009395676665008068,0.03872973471879959,0.03845776617527008,0.006511044688522816,0.012632486410439014,0.05406191945075989,0.017630577087402344,0.03426313400268555,0.0072855269536376,0.01763792149722576,0.013711851090192795,0.00419200723990798,0.025363218039274216,0.021710414439439774,0.0036019417457282543,0.014958895742893219,0.007644256576895714,0.014646426774561405,0.013798128813505173
8,0.0,0.08144664019346237,0.05208267271518707,0.0,0.0,0.05317414179444313,0.0,0.015532759949564934,0.038469523191452026,0.021267741918563843,0.022766098380088806,0.02084273099899292,0.02033426985144615,0.008873006328940392,0.07010281831026077,0.09799192100763321,0.012270065024495125,0.011082097887992859,0.013637428171932697,0.023334622383117676,0.006434349343180656,0.005445646587759256,0.02666541375219822,0.11059339344501495,0.007115285377949476,0.02208075299859047,0.05988413468003273,0.02392500638961792,0.015633761882781982,0.009425275027751923,0.007313152775168419,0.01633494533598423,0.022727232426404953,0.010554954409599304,0.01602492853999138,0.004245945252478123,0.013214601203799248,0.04052799940109253,0.006655294913798571,0.011989382095634937
9,0.0,0.15040522813796997,0.06453356891870499,0.0,0.0,0.030075186863541603,0.0,0.015043236315250397,0.029264574870467186,0.01884123869240284,0.04085361212491989,0.010902835056185722,0.022009119391441345,0.0038007302209734917,0.026010803878307343,0.10429827868938446,0.01746172271668911,0.014570257626473904,0.011981187388300896,0.014235695824027061,0.008069001138210297,0.030106279999017715,0.027487782761454582,0.07392215728759766,0.022021422162652016,0.0025082421489059925,0.07086846977472305,0.03342568874359131,0.02049075812101364,0.014400184154510498,0.017647268250584602,0.012123733758926392,0.004044024273753166,0.02737431414425373,0.008618246763944626,0.004180251620709896,0.010721735656261444,0.008868222124874592,0.007672833278775215,0.021162137389183044
10,0.0,0.09981910139322281,0.06269246339797974,0.0,0.0,0.04729829728603363,0.0,0.02324611507356167,0.03245672956109047,0.03757302090525627,0.03587494045495987,0.01412598229944706,0.03286319598555565,0.0066990721970796585,0.036388982087373734,0.10000278800725937,0.007314580958336592,0.017604444175958633,0.014993155375123024,0.013751095160841942,0.011394012719392776,0.011987562291324139,0.02574283629655838,0.030179418623447418,0.006265564355999231,0.009704628959298134,0.0913531631231308,0.029350224882364273,0.021476516500115395,0.002222039271146059,0.015435410663485527,0.017864195629954338,0.040017496794462204,0.012593559920787811,0.012176199816167355,0.01255290862172842,0.020442992448806763,0.016650741919875145,0.002643474843353033,0.02724308893084526
