run,Accuracy,Precision,Recall,F1,F2,F0.5,Average Precision
1,0.9895739708790221,0.8170731707317073,0.6090909090909091,0.6979166666666666,0.6417624521072798,0.7648401826484018,0.5054014826341129
2,0.9895739708790221,0.8714285714285714,0.5545454545454546,0.6777777777777777,0.5980392156862746,0.7820512820512822,0.4920549502627518
3,0.9892144526334712,0.7840909090909091,0.6272727272727273,0.696969696969697,0.6534090909090909,0.7467532467532467,0.49920896700900136
4,0.9897537300017976,0.8732394366197183,0.5636363636363636,0.6850828729281767,0.6066536203522505,0.7868020304568527,0.5008179385334278
5,0.9911918029840014,0.9066666666666666,0.6181818181818182,0.7351351351351351,0.6601941747572816,0.8292682926829268,0.5680347316414187
6,0.9901132482473486,0.8666666666666667,0.5909090909090909,0.7027027027027029,0.6310679611650486,0.7926829268292683,0.5202103726461088
7,0.991012043861226,0.875,0.6363636363636364,0.7368421052631579,0.673076923076923,0.813953488372093,0.564008546729201
8,0.9913715621067769,0.8974358974358975,0.6363636363636364,0.7446808510638298,0.6756756756756757,0.8293838862559242,0.5782859360065903
9,0.9897537300017976,0.8271604938271605,0.6090909090909091,0.7015706806282723,0.6429942418426103,0.7718894009216588,0.5115455794286162
10,0.9892144526334712,0.8378378378378378,0.5636363636363636,0.6739130434782609,0.603112840466926,0.7635467980295566,0.4808643101290953
11,0.9884954161423692,0.7738095238095238,0.5909090909090909,0.6701030927835052,0.6202290076335878,0.7286995515695067,0.46534024277597896
12,0.9915513212295524,0.8620689655172413,0.6818181818181818,0.7614213197969542,0.7115749525616698,0.8187772925764191,0.5940658639679881
13,0.9904727664928995,0.8607594936708861,0.6181818181818182,0.7195767195767194,0.6551059730250481,0.7981220657276995,0.5396557519712998
14,0.9884954161423692,0.8382352941176471,0.5181818181818182,0.6404494382022472,0.5610236220472441,0.7460732984293194,0.443885522277154
15,0.9892144526334712,0.8378378378378378,0.5636363636363636,0.6739130434782609,0.603112840466926,0.7635467980295566,0.4808643101290953
16,0.9897537300017976,0.8192771084337349,0.6181818181818182,0.7046632124352331,0.650095602294455,0.7692307692307692,0.5140120956428791
17,0.9888549343879202,0.8,0.5818181818181818,0.6736842105263158,0.6153846153846153,0.7441860465116279,0.4737234651022176
18,0.990652525615675,0.8295454545454546,0.6636363636363637,0.7373737373737375,0.6912878787878789,0.7900432900432901,0.5571676164683127
19,0.9911918029840014,0.8426966292134831,0.6818181818181818,0.7537688442211055,0.708884688090737,0.8047210300429183,0.5808574528517894
20,0.9893942117562466,0.8493150684931506,0.5636363636363636,0.6775956284153005,0.6042884990253411,0.7711442786069652,0.4873332946802716
21,0.9908322847384505,0.9041095890410958,0.6,0.7213114754098361,0.6432748538011696,0.8208955223880596,0.5503751548267787
22,0.9884954161423692,0.7875,0.5727272727272728,0.6631578947368421,0.6057692307692308,0.7325581395348838,0.4594714060431749
23,0.990293007370124,0.8333333333333334,0.6363636363636364,0.7216494845360825,0.66793893129771,0.7847533632286996,0.5374933952140495
24,0.9915513212295524,0.8987341772151899,0.6454545454545455,0.7513227513227514,0.6840077071290943,0.8333333333333334,0.5871026656271391
25,0.9924501168434298,0.8777777777777778,0.7181818181818181,0.7899999999999999,0.7452830188679246,0.8404255319148937,0.6359765732100803
