run,Accuracy,Precision,Recall,F1,F2,F0.5,Average Precision
1,0.9890346935106956,0.7525773195876289,0.6636363636363637,0.7053140096618359,0.6797020484171323,0.7329317269076305,0.5060887632690284
2,0.9884954161423692,0.7211538461538461,0.6818181818181818,0.7009345794392523,0.6893382352941176,0.7129277566539923,0.497987373492946
3,0.9904727664928995,0.8131868131868132,0.6727272727272727,0.7363184079601991,0.6967984934086628,0.780590717299578,0.5535242754728643
4,0.9897537300017976,0.7387387387387387,0.7454545454545455,0.7420814479638009,0.7441016333938294,0.740072202166065,0.5557294061338642
5,0.9937084307028582,0.8640776699029126,0.8090909090909091,0.8356807511737089,0.8195211786372006,0.8524904214559386,0.7028923290451871
6,0.9886751752651447,0.719626168224299,0.7,0.7096774193548386,0.7038391224862888,0.7156133828996282,0.5096703688086002
7,0.990293007370124,0.7456140350877193,0.7727272727272727,0.7589285714285713,0.7671480144404331,0.7508833922261484,0.5806502779098973
8,0.9874168614057164,0.6923076923076923,0.6545454545454545,0.6728971962616823,0.661764705882353,0.6844106463878327,0.45997769981232145
9,0.9895739708790221,0.7452830188679245,0.7181818181818181,0.7314814814814815,0.7234432234432234,0.7397003745318352,0.5408212463566402
10,0.9915513212295524,0.7837837837837838,0.7909090909090909,0.7873303167420813,0.7894736842105262,0.7851985559566786,0.6240361797255559
11,0.9922703577206543,0.8526315789473684,0.7363636363636363,0.7902439024390244,0.7570093457943925,0.826530612244898,0.633059904512642
12,0.9886751752651447,0.7640449438202247,0.6181818181818182,0.6834170854271356,0.6427221172022684,0.7296137339055794,0.4798685756999818
13,0.9884954161423692,0.7129629629629629,0.7,0.7064220183486237,0.7025547445255473,0.7103321033210331,0.5050061251256649
14,0.9897537300017976,0.7623762376237624,0.7,0.7298578199052131,0.7116451016635859,0.7490272373540856,0.5395954173882245
15,0.9890346935106956,0.7425742574257426,0.6818181818181818,0.7109004739336493,0.6931608133086875,0.7295719844357975,0.5125921993601481
16,0.9895739708790221,0.76,0.6909090909090909,0.7238095238095238,0.7037037037037037,0.7450980392156863,0.5312027192652754
17,0.9890346935106956,0.7578947368421053,0.6545454545454545,0.702439024390244,0.6728971962616822,0.7346938775510204,0.5029074016893917
18,0.9893942117562466,0.7684210526315789,0.6636363636363637,0.7121951219512195,0.6822429906542057,0.7448979591836735,0.5166032406527407
19,0.9872371022829408,0.693069306930693,0.6363636363636364,0.6635071090047393,0.6469500924214417,0.6809338521400776,0.4482344693214602
20,0.9897537300017976,0.7264957264957265,0.7727272727272727,0.748898678414097,0.7630161579892281,0.7352941176470589,0.5658770394524484
21,0.9888549343879202,0.6875,0.8,0.7394957983193278,0.7746478873239437,0.7073954983922829,0.5539547007010607
22,0.9884954161423692,0.7346938775510204,0.6545454545454545,0.6923076923076923,0.6691449814126393,0.7171314741035857,0.4877213846988635
23,0.9911918029840014,0.7747747747747747,0.7818181818181819,0.7782805429864253,0.780399274047187,0.7761732851985559,0.6100472246796173
24,0.9904727664928995,0.7714285714285715,0.7363636363636363,0.7534883720930233,0.7431192660550459,0.7641509433962265,0.573264962612437
25,0.9901132482473486,0.7722772277227723,0.7090909090909091,0.7393364928909952,0.7208872458410351,0.7587548638132295,0.5533670534049631
