run,Accuracy,Precision,Recall,F1,F2,F0.5,Average Precision
1,0.9804804804804805,0.8269230769230769,0.9148936170212766,0.8686868686868686,0.8958333333333331,0.8431372549019606,0.7625526508505232
2,0.972972972972973,0.7959183673469388,0.8297872340425532,0.8125,0.8227848101265823,0.8024691358024691,0.672454912576493
3,0.9714714714714715,0.75,0.8936170212765957,0.8155339805825244,0.8606557377049181,0.7749077490774908,0.6777202734649543
4,0.9714714714714715,0.78,0.8297872340425532,0.8041237113402062,0.8193277310924371,0.7894736842105263,0.6592460545652035
5,0.9774774774774775,0.7962962962962963,0.9148936170212766,0.8514851485148516,0.8884297520661156,0.8174904942965779,0.7345324047451707
6,0.9534534534534534,0.6290322580645161,0.8297872340425532,0.7155963302752293,0.7799999999999998,0.6610169491525423,0.5339749495549083
7,0.9654654654654654,0.7608695652173914,0.7446808510638298,0.7526881720430109,0.7478632478632479,0.7575757575757577,0.5846230133926712
8,0.9774774774774775,0.8076923076923077,0.8936170212765957,0.8484848484848485,0.875,0.8235294117647058,0.7292751016155271
9,0.978978978978979,0.851063829787234,0.851063829787234,0.8510638297872339,0.851063829787234,0.851063829787234,0.7348201528826246
10,0.975975975975976,0.803921568627451,0.8723404255319149,0.8367346938775511,0.8577405857740585,0.8167330677290837,0.7103022922797642
