run,Accuracy,Precision,Recall,F1,F2,F0.5,Average Precision
1,0.9874168614057164,0.7702702702702703,0.5181818181818182,0.6195652173913043,0.5544747081712063,0.7019704433497537,0.40866728264714963
2,0.9875966205284918,0.7733333333333333,0.5272727272727272,0.627027027027027,0.5631067961165048,0.7073170731707317,0.4171050501419007
3,0.9884954161423692,0.7674418604651163,0.6,0.673469387755102,0.6273764258555133,0.7268722466960353,0.4683745176811909
4,0.9884954161423692,0.8026315789473685,0.5545454545454546,0.6559139784946236,0.5910852713178295,0.7367149758454107,0.4539038907959029
5,0.9856192701779616,0.7205882352941176,0.44545454545454544,0.550561797752809,0.48228346456692917,0.6413612565445026,0.33195461130213855
6,0.9852597519324106,0.6707317073170732,0.5,0.5729166666666666,0.5268199233716475,0.6278538812785388,0.3452526054111881
7,0.9863383066690634,0.6976744186046512,0.5454545454545454,0.6122448979591837,0.5703422053231938,0.6607929515418502,0.3895376390140383
8,0.9872371022829408,0.7468354430379747,0.5363636363636364,0.6243386243386243,0.5684007707129095,0.6924882629107981,0.40974308925464503
9,0.9859787884235125,0.75,0.43636363636363634,0.5517241379310345,0.4761904761904761,0.6557377049180328,0.3384177928848071
10,0.9868775840373899,0.7341772151898734,0.5272727272727272,0.6137566137566137,0.558766859344894,0.6807511737089202,0.3964590969389855
11,0.986518065791839,0.7536231884057971,0.4727272727272727,0.5810055865921788,0.5108055009823183,0.6735751295336787,0.366684263640082
12,0.9875966205284918,0.7733333333333333,0.5272727272727272,0.627027027027027,0.5631067961165048,0.7073170731707317,0.4171050501419007
13,0.985439511055186,0.7164179104477612,0.43636363636363634,0.5423728813559321,0.4733727810650887,0.6349206349206349,0.32376379017110285
14,0.9881358978968182,0.8235294117647058,0.509090909090909,0.6292134831460674,0.5511811023622046,0.7329842931937173,0.4289583295282716
15,0.9875966205284918,0.8059701492537313,0.4909090909090909,0.6101694915254238,0.5325443786982248,0.7142857142857143,0.4057245841454405
16,0.9870573431601654,0.7567567567567568,0.509090909090909,0.608695652173913,0.5447470817120622,0.689655172413793,0.39496497788786117
17,0.985439511055186,0.6746987951807228,0.509090909090909,0.5803108808290155,0.5353728489483748,0.6334841628959276,0.3531900156309712
18,0.985439511055186,0.6883116883116883,0.4818181818181818,0.5668449197860963,0.5125725338491296,0.6339712918660287,0.34188735618474314
19,0.985799029300737,0.7246376811594203,0.45454545454545453,0.558659217877095,0.4911591355599214,0.6476683937823835,0.34016631152990173
20,0.9856192701779616,0.6973684210526315,0.4818181818181818,0.5698924731182796,0.5135658914728681,0.6400966183574879,0.3462510546871976
21,0.9874168614057164,0.7777777777777778,0.509090909090909,0.6153846153846153,0.5468749999999999,0.7035175879396985,0.40566658858947185
22,0.9847204745640842,0.6666666666666666,0.45454545454545453,0.5405405405405405,0.48543689320388345,0.6097560975609755,0.31381585039683185
23,0.986518065791839,0.7011494252873564,0.5545454545454546,0.6192893401015228,0.5787476280834914,0.6659388646288209,0.3976274237662598
24,0.986158547546288,0.7391304347826086,0.4636363636363636,0.5698324022346368,0.5009823182711197,0.660621761658031,0.35329353527932644
25,0.9877763796512673,0.7441860465116279,0.5818181818181818,0.6530612244897959,0.6083650190114067,0.7048458149779735,0.44124989216352833
