run,Accuracy,Precision,Recall,F1,F2,F0.5,Average Precision
1,0.901671759841812,0.15805946791862285,0.9181818181818182,0.26969292389853133,0.46802594995366087,0.18942235558889725,0.1467451617393512
2,0.8995146503685062,0.1486697965571205,0.8636363636363636,0.2536715620827771,0.44022242817423546,0.17816954238559643,0.13109302932278175
3,0.9164120079094014,0.17902350813743217,0.9,0.2986425339366515,0.4984894259818732,0.2131782945736434,0.16309850767421924
4,0.9135358619449937,0.17739130434782607,0.9272727272727272,0.2978102189781021,0.5024630541871922,0.21161825726141079,0.16592819155927893
5,0.9018515189645875,0.159375,0.9272727272727272,0.27199999999999996,0.4722222222222222,0.19101123595505617,0.14922216389129475
6,0.8928635628258134,0.14884393063583815,0.9363636363636364,0.256857855361596,0.45494699646643105,0.1789437109103544,0.14063035800025864
7,0.9094014021211576,0.17166666666666666,0.9363636363636364,0.2901408450704225,0.4951923076923077,0.20517928286852588,0.16200073810185261
8,0.9032895919467913,0.15594855305466238,0.8818181818181818,0.26502732240437155,0.45668549905838046,0.18668206312548113,0.1398551381079199
9,0.8957397087902211,0.15542521994134897,0.9636363636363636,0.2676767676767676,0.4723707664884135,0.18675123326286117,0.15049243025276546
10,0.9092216429983822,0.1724709784411277,0.9454545454545454,0.2917251051893408,0.49856184084372007,0.20618556701030927,0.16414202526280997
11,0.9092216429983822,0.16694772344013492,0.9,0.28165007112375534,0.47918683446272986,0.1994359387590653,0.15223030144665173
12,0.901312241596261,0.160741885625966,0.9454545454545454,0.2747688243064729,0.4783808647654094,0.1927353595255745,0.15305270114665712
13,0.9000539277368327,0.1600609756097561,0.9545454545454546,0.2741514360313316,0.479014598540146,0.1920263350402341,0.15368427233228096
14,0.9074240517706273,0.17073170731707318,0.9545454545454546,0.2896551724137931,0.4976303317535545,0.20428015564202334,0.16386997078017454
15,0.8930433219485889,0.1530758226037196,0.9727272727272728,0.26452410383189123,0.469710272168569,0.18410185822436342,0.1494403048101264
16,0.9094014021211576,0.17275747508305647,0.9454545454545454,0.2921348314606742,0.4990403071017274,0.20651310563939634,0.164412894815179
17,0.9101204386122596,0.175,0.9545454545454546,0.29577464788732394,0.5048076923076923,0.20916334661354583,0.16794425015933195
18,0.9108394751033615,0.1750841750841751,0.9454545454545454,0.29545454545454547,0.5029013539651838,0.2091713596138375,0.1666126839071457
19,0.9031098328240158,0.16113744075829384,0.9272727272727272,0.2745625841184387,0.47530288909599255,0.19303557910673733,0.1508564271398945
20,0.8898076577386302,0.14627285513361463,0.9454545454545454,0.25334957369062117,0.45178105994787143,0.17603249830737983,0.13937289049934307
21,0.8950206722991192,0.14626865671641792,0.8909090909090909,0.2512820512820513,0.4414414414414415,0.17562724014336922,0.13246918545702355
22,0.9092216429983822,0.1724709784411277,0.9454545454545454,0.2917251051893408,0.49856184084372007,0.20618556701030927,0.16414202526280997
23,0.906165737911199,0.16558441558441558,0.9272727272727272,0.2809917355371901,0.48295454545454547,0.19813519813519814,0.15497998561502557
24,0.9228833363293187,0.19148936170212766,0.9,0.3157894736842105,0.5172413793103448,0.22727272727272727,0.17431777588244518
25,0.9090418838756067,0.17,0.9272727272727272,0.28732394366197184,0.49038461538461536,0.20318725099601595,0.1590744366185675
