run,Accuracy,Precision,Recall,F1,F2,F0.5,Average Precision
1,0.9333093654502966,0.21568627450980393,0.9,0.34797891036906853,0.5506117908787543,0.25436793422404935,0.19609499740935382
2,0.924860686679849,0.19444444444444445,0.8909090909090909,0.3192182410423453,0.5190677966101694,0.23047977422389462,0.175389432705629
3,0.929714182994787,0.21030927835051547,0.9272727272727272,0.34285714285714286,0.5513513513513513,0.24878048780487805,0.19645213108904547
4,0.9262987596620529,0.20817120622568094,0.9727272727272728,0.34294871794871795,0.560796645702306,0.24699907663896586,0.2030330870605797
5,0.9243214093115225,0.19922630560928434,0.9363636363636364,0.32854864433811803,0.5381400208986415,0.236455463728191,0.18780658183903098
6,0.9187488765054826,0.19021739130434784,0.9545454545454546,0.3172205438066465,0.529233870967742,0.22648835202761006,0.1824699418589367
7,0.929354664749236,0.20944558521560575,0.9272727272727272,0.3417085427135678,0.5501618122977346,0.2478134110787172,0.195651252000311
8,0.9361855114147043,0.22717149220489977,0.9272727272727272,0.36493738819320215,0.5736782902137234,0.26757607555089197,0.21208800211765635
9,0.9115585115944634,0.17294520547945205,0.9181818181818182,0.2910662824207493,0.49316406249999994,0.20645952575633686,0.16041297531793075
10,0.9232428545748697,0.19694072657743786,0.9363636363636364,0.325434439178515,0.5347871235721704,0.23387829246139874,0.18566644874557472
11,0.9167715261549524,0.18650088809946713,0.9545454545454546,0.31203566121842496,0.5234297108673979,0.2222692633361558,0.17892237061791422
12,0.9164120079094014,0.18018018018018017,0.9090909090909091,0.3007518796992481,0.5025125628140703,0.21459227467811157,0.1655977550279186
13,0.9333093654502966,0.22641509433962265,0.9818181818181818,0.3679727427597956,0.588876772082879,0.267591674925669,0.2226579745062714
14,0.9333093654502966,0.21814254859611232,0.9181818181818182,0.35253054101221637,0.5592469545957919,0.2573904179408767,0.20191235399777335
15,0.9298939421175625,0.21428571428571427,0.9545454545454546,0.35,0.564516129032258,0.25362318840579706,0.20544425015933193
16,0.9144346575588711,0.18006993006993008,0.9363636363636364,0.3020527859237537,0.5088932806324111,0.21476230191826523,0.16986924837945383
17,0.9264785187848283,0.20512820512820512,0.9454545454545454,0.3371150729335494,0.5491024287222808,0.24321796071094479,0.19501794867604683
18,0.9164120079094014,0.1847246891651865,0.9454545454545454,0.30906389301634474,0.518444666001994,0.2201524132091448,0.17572735176555648
19,0.9122775480855654,0.18394648829431437,1.0,0.3107344632768361,0.5298651252408477,0.21982414068745004,0.18394648829431437
20,0.9246809275570735,0.2011605415860735,0.9454545454545454,0.33173843700159494,0.5433646812957157,0.23875114784205692,0.1912667031453042
21,0.9144346575588711,0.17781690140845072,0.9181818181818182,0.2979351032448378,0.5009920634920636,0.21200671704450044,0.1648860779436477
22,0.9221642998382168,0.19699812382739212,0.9545454545454546,0.3265940902021773,0.539568345323741,0.23416592328278324,0.18894245926729716
23,0.933848642818623,0.21956521739130436,0.9181818181818182,0.35438596491228075,0.5611111111111111,0.258974358974359,0.20321862261881332
24,0.9424770807118461,0.25,0.9545454545454546,0.39622641509433965,0.6104651162790699,0.2932960893854749,0.23953515925024105
25,0.9234226136976451,0.1926070038910506,0.9,0.3173076923076923,0.5188679245283019,0.22853185595567865,0.17532365385247584
