run,Accuracy,Precision,Recall,F1,F2,F0.5,Average Precision
1,0.9856192701779616,0.6229508196721312,0.6909090909090909,0.6551724137931035,0.6761565836298934,0.6354515050167224,0.43651419467511154
2,0.9890346935106956,0.6842105263157895,0.8272727272727273,0.7489711934156379,0.7940663176265271,0.7087227414330218,0.5694441314667055
3,0.9892144526334712,0.6811594202898551,0.8545454545454545,0.7580645161290324,0.8131487889273356,0.7099697885196374,0.5849578323939202
4,0.9866978249146144,0.6475409836065574,0.7181818181818181,0.6810344827586207,0.7028469750889679,0.6605351170568562,0.47062469375984023
5,0.9879561387740428,0.6936936936936937,0.7,0.6968325791855203,0.6987295825771324,0.6949458483754513,0.49151763663717646
6,0.985799029300737,0.6115107913669064,0.7727272727272727,0.6827309236947792,0.7340241796200345,0.6381381381381381,0.4770250441256329
7,0.9875966205284918,0.664,0.7545454545454545,0.7063829787234043,0.7345132743362832,0.6803278688524591,0.5058716781331198
8,0.9884954161423692,0.6982758620689655,0.7363636363636363,0.7168141592920354,0.7284172661870503,0.705574912891986,0.5193979675385454
9,0.9904727664928995,0.7355371900826446,0.8090909090909091,0.7705627705627704,0.7932263814616756,0.7491582491582491,0.5988913953724248
10,0.9859787884235125,0.6333333333333333,0.6909090909090909,0.6608695652173913,0.6785714285714286,0.6440677966101696,0.4436875677501239
11,0.9859787884235125,0.6212121212121212,0.7454545454545455,0.6776859504132231,0.7167832167832167,0.6426332288401253,0.4681186548867493
12,0.9872371022829408,0.6466165413533834,0.7818181818181819,0.7078189300411523,0.75043630017452,0.6697819314641744,0.5098507876410749
13,0.985439511055186,0.6260869565217392,0.6545454545454545,0.64,0.6486486486486486,0.6315789473684211,0.4166332182069703
14,0.9895739708790221,0.7203389830508474,0.7727272727272727,0.7456140350877193,0.7616487455197132,0.7302405498281787,0.5611195558814055
15,0.9895739708790221,0.7241379310344828,0.7636363636363637,0.7433628318584072,0.7553956834532374,0.7317073170731707,0.5576517936184948
16,0.9868775840373899,0.6528925619834711,0.7181818181818181,0.683982683982684,0.7040998217468805,0.6649831649831649,0.4744681000487146
17,0.9888549343879202,0.7068965517241379,0.7454545454545455,0.7256637168141592,0.737410071942446,0.7142857142857143,0.5319925030866163
18,0.986518065791839,0.6356589147286822,0.7454545454545455,0.6861924686192469,0.7205623901581723,0.6549520766773164,0.47888808278091294
19,0.9820240877224519,0.5342465753424658,0.7090909090909091,0.6093750000000001,0.6655290102389079,0.5619596541786743,0.3845816817171093
20,0.9886751752651447,0.7043478260869566,0.7363636363636363,0.7200000000000001,0.7297297297297297,0.7105263157894737,0.5238691410427024
21,0.985439511055186,0.6058394160583942,0.7545454545454545,0.6720647773279351,0.7192374350086655,0.6306990881458967,0.46198687388627174
22,0.9850799928096351,0.6046511627906976,0.7090909090909091,0.6527196652719665,0.6854130052724078,0.6230031948881789,0.43450493463494644
23,0.985439511055186,0.6074074074074074,0.7454545454545455,0.6693877551020408,0.7130434782608697,0.6307692307692309,0.4578278682323263
24,0.9890346935106956,0.7094017094017094,0.7545454545454545,0.7312775330396476,0.7450628366247756,0.7179930795847751,0.5401293315907734
25,0.9892144526334712,0.6953125,0.8090909090909091,0.7478991596638657,0.7834507042253521,0.7154340836012862,0.5663459643055578
