run,Accuracy,Precision,Recall,F1,F2,F0.5,Average Precision
1,0.985799029300737,0.6371681415929203,0.6545454545454545,0.6457399103139014,0.650994575045208,0.6405693950177936,0.4238863575262889
2,0.9893942117562466,0.7073170731707317,0.7909090909090909,0.7467811158798283,0.7726465364120781,0.7225913621262458,0.5635579631497784
3,0.986518065791839,0.6495726495726496,0.6909090909090909,0.669603524229075,0.6822262118491921,0.6574394463667821,0.45490745897001517
4,0.9883156570195938,0.6829268292682927,0.7636363636363637,0.721030042918455,0.7460035523978686,0.6976744186046512,0.5261814977243133
5,0.9870573431601654,0.6507936507936508,0.7454545454545455,0.6949152542372882,0.724381625441696,0.6677524429967426,0.49017034057479864
6,0.9874168614057164,0.6666666666666666,0.7272727272727273,0.6956521739130435,0.7142857142857144,0.6779661016949153,0.49024125853174927
7,0.986518065791839,0.6470588235294118,0.7,0.6724890829694322,0.6887298747763864,0.6569965870307167,0.45887322752217913
8,0.9868775840373899,0.6697247706422018,0.6636363636363637,0.6666666666666666,0.6648451730418945,0.6684981684981686,0.4511047989688813
9,0.9866978249146144,0.6428571428571429,0.7363636363636363,0.6864406779661018,0.715547703180212,0.6596091205211727,0.47858963793711234
10,0.9872371022829408,0.6695652173913044,0.7,0.6844444444444445,0.6936936936936937,0.6754385964912281,0.4746277032255039
11,0.9863383066690634,0.6416666666666667,0.7,0.6695652173913043,0.6875,0.652542372881356,0.45509871771825755
12,0.9883156570195938,0.6744186046511628,0.7909090909090909,0.7280334728033473,0.7644991212653778,0.694888178913738,0.5375382653206648
13,0.9870573431601654,0.6637931034482759,0.7,0.6814159292035398,0.6924460431654675,0.6707317073170731,0.470587223465384
14,0.9877763796512673,0.6875,0.7,0.6936936936936936,0.697463768115942,0.6899641577060932,0.48718205105159085
15,0.9866978249146144,0.6475409836065574,0.7181818181818181,0.6810344827586207,0.7028469750889679,0.6605351170568562,0.47062469375984023
16,0.9868775840373899,0.6554621848739496,0.7090909090909091,0.6812227074235808,0.6976744186046512,0.6655290102389079,0.47053456847579783
17,0.9897537300017976,0.7226890756302521,0.7818181818181819,0.7510917030567685,0.7692307692307694,0.7337883959044369,0.5693256780757178
18,0.9884954161423692,0.6885245901639344,0.7636363636363637,0.7241379310344828,0.7473309608540926,0.7023411371237459,0.5304561514991669
19,0.989933489124573,0.7410714285714286,0.7545454545454545,0.7477477477477477,0.7518115942028987,0.7437275985663084,0.5640255742370159
20,0.9886751752651447,0.6942148760330579,0.7636363636363637,0.7272727272727274,0.7486631016042781,0.7070707070707071,0.5348014607083158
21,0.9897537300017976,0.7264957264957265,0.7727272727272727,0.748898678414097,0.7630161579892281,0.7352941176470589,0.5658770394524484
22,0.9879561387740428,0.6747967479674797,0.7545454545454545,0.7124463519313305,0.7371225577264654,0.6893687707641196,0.5140183152358545
23,0.9884954161423692,0.7053571428571429,0.7181818181818181,0.7117117117117118,0.7155797101449274,0.7078853046594982,0.5121472081307152
24,0.9870573431601654,0.6461538461538462,0.7636363636363637,0.7000000000000001,0.7368421052631579,0.6666666666666666,0.498100310618736
25,0.9866978249146144,0.6475409836065574,0.7181818181818181,0.6810344827586207,0.7028469750889679,0.6605351170568562,0.47062469375984023
