run,Accuracy,Precision,Recall,F1,F2,F0.5,Average Precision
1,0.9845407154413086,0.5857142857142857,0.7454545454545455,0.656,0.7068965517241379,0.6119402985074627,0.4416566320610901
2,0.9832824015818803,0.5562913907284768,0.7636363636363637,0.6436781609195402,0.7106598984771574,0.588235294117647,0.4294780719302721
3,0.9832824015818803,0.5578231292517006,0.7454545454545455,0.6381322957198444,0.6984667802385008,0.5873925501432665,0.4208650426980722
4,0.9841811971957577,0.5774647887323944,0.7454545454545455,0.6507936507936508,0.7044673539518901,0.6047197640117995,0.4355070070382257
5,0.985799029300737,0.6054421768707483,0.8090909090909091,0.6926070038910506,0.7580919931856899,0.6375358166189111,0.49363270286461786
6,0.9852597519324106,0.5958904109589042,0.7909090909090909,0.6796875,0.7423208191126279,0.6268011527377523,0.4754296030367875
7,0.9807657738630235,0.5093167701863354,0.7454545454545455,0.6051660516605166,0.6821963394342762,0.5437665782493368,0.3847057568493453
8,0.9838216789502067,0.5684931506849316,0.7545454545454545,0.6484375,0.7081911262798634,0.5979827089337175,0.43380741910447723
9,0.9847204745640842,0.5899280575539568,0.7454545454545455,0.6586345381526104,0.7081174438687392,0.6156156156156156,0.4447978074324813
10,0.986518065791839,0.631578947368421,0.7636363636363637,0.691358024691358,0.7329842931937174,0.6542056074766355,0.48697038790986585
11,0.9850799928096351,0.6,0.7363636363636363,0.6612244897959183,0.7043478260869566,0.6230769230769231,0.4470311963786707
12,0.9836419198274312,0.564625850340136,0.7545454545454545,0.6459143968871596,0.7069846678023851,0.5945558739255015,0.4308893652079497
13,0.9822038468452274,0.535031847133758,0.7636363636363637,0.6292134831460675,0.7035175879396984,0.5691056910569106,0.41324351136703225
14,0.9850799928096351,0.5849056603773585,0.8454545454545455,0.6914498141263941,0.7762938230383973,0.6233243967828418,0.4975670543153135
15,0.9866978249146144,0.6285714285714286,0.8,0.7040000000000001,0.7586206896551725,0.6567164179104478,0.5068118435582035
16,0.9849002336868596,0.5902777777777778,0.7727272727272727,0.6692913385826771,0.7277397260273972,0.619533527696793,0.46061771544312435
17,0.9811252921085745,0.5153374233128835,0.7636363636363637,0.6153846153846154,0.6965174129353234,0.5511811023622047,0.3982041331765463
18,0.9881358978968182,0.6617647058823529,0.8181818181818182,0.7317073170731708,0.7812499999999999,0.6880733944954128,0.5450390327228893
19,0.9843609563185332,0.5761589403973509,0.7909090909090909,0.6666666666666666,0.7360406091370558,0.6092436974789915,0.45982380359264996
20,0.9845407154413086,0.581081081081081,0.7818181818181819,0.6666666666666666,0.7312925170068028,0.6125356125356125,0.4586139732463658
21,0.986518065791839,0.6223776223776224,0.8090909090909091,0.7035573122529644,0.7632933104631218,0.6524926686217009,0.5073350178656341
22,0.9849002336868596,0.5955882352941176,0.7363636363636363,0.6585365853658536,0.703125,0.6192660550458716,0.44378253327706646
23,0.9843609563185332,0.5815602836879432,0.7454545454545455,0.6533864541832669,0.7056798623063683,0.6083086053412461,0.4385600123687257
24,0.9850799928096351,0.5985401459854015,0.7454545454545455,0.6639676113360324,0.7105719237435008,0.6231003039513677,0.4512177278995583
25,0.9804062556174726,0.5028901734104047,0.7909090909090909,0.6148409893992933,0.7096247960848286,0.5423940149625935,0.40187486970297426
