run,f40_maxidf_jira_all_as_query,f13_ir_log_and_summary_summary_as_query,f1_assignee_is_commiter,f43_maxidf_jira_summary_as_query,f46_maxidf_jira_description_as_query,f24_ir_svn_all_and_summary_svn_all_as_query,f127_maxpmi_jira_all_as_query,f17_ir_log_and_jira_all_jira_all_as_query,f12_ir_log_and_summary_log_as_query,f16_ir_log_and_jira_all_log_as_query,f44_devidf_jira_summary_as_query,f28_ir_svn_all_and_jira_all_svn_all_as_query,f25_ir_svn_all_and_summary_summary_as_query,f15_ir_log_and_description_description_as_query,f29_ir_svn_all_and_jira_all_jira_all_as_query,f18_ir_unitname_and_summary_unitname_as_query,f26_ir_svn_all_and_description_svn_all_as_query,f10_overlap_terms_to_svn,f2_timedif_issuecreation_and_commitcreation,f11_overlap_terms_to_union,f27_ir_svn_all_and_description_description_as_query,f22_ir_unitname_and_jira_all_unitname_as_query,f3_timedif_issueupdated_and_commitcreation,f19_ir_unitname_and_summary_summary_as_query,f9_overlap_terms_compared_to_jira,f23_ir_unitname_and_jira_all_jira_all_as_query,f4_timedif_issueresolved_and_commitcreation,f60_avgictf_jira_summary_as_query,f112_maxscq_jira_all_as_query,f20_ir_unitname_and_description_unitname_as_query,f126_avgpmi_jira_all_as_query,f99_scs_jira_all_as_query,f21_ir_unitname_and_description_description_as_query,f100_scs_jira_summary_as_query,f62_devictf_jira_summary_as_query,f101_scs_jira_description_as_query,f118_maxscq_jira_description_as_query,f128_avgpmi_jira_summary_as_query,f14_ir_log_and_description_log_as_query,f89_deventropy_jira_description_as_query,f94_queryscope_jira_summary_as_query,f88_maxentropy_jira_description_as_query,f93_queryscope_jira_all_as_query,f83_medentropy_jira_summary_as_query,f81_deventropy_jira_all_as_query,f42_avgidf_jira_summary_as_query,f86_avgentropy_jira_description_as_query,f52_maxictf_svn_log_as_query,f78_avgentropy_jira_all_as_query,f41_devidf_jira_all_as_query,f58_maxictf_jira_all_as_query,f80_maxentropy_jira_all_as_query,f79_medentropy_jira_all_as_query,f47_devidf_jira_description_as_query,f116_sumscq_jira_summary_as_query,f114_avgscq_jira_summary_as_query,f87_medentropy_jira_description_as_query,f103_SvnAsQuery_maxSCQ,f130_avgpmi_jira_description_as_query,f57_avgictf_jira_all_as_query
1,0.0,473.9128554351628,6954.23262232542,0.0,0.0,106.50680096447468,0.0,375.18540548346937,824.3633857164532,47.507804699242115,135.96011066064239,22.703282698988914,72.27389079332352,35.34196908026934,87.32546772249043,245.18675365671515,19.15659486874938,63.92336607910693,345.9136825352907,110.88157483935356,13.474882647395134,38.00783608481288,3697.562009194866,18.947012200951576,48.79487215727568,64.53825763240457,2367.454046079889,37.277238857001066,72.631672013551,18.923683147877455,94.14807302691042,172.34658371284604,7.525252807885408,29.904825089499354,64.9267390742898,6.611181050539017,39.23844649270177,10.034025400876999,41.807182502001524,134.93220581114292,118.29707409441471,41.58678384870291,6.229298947378993,43.23784375190735,12.333718694746494,9.803556926548481,39.013143312186,157.52559083886445,0.0,44.51670638099313,1.6231149733066559,10.108540058135986,193.99387681111693,35.28744310513139,124.84242105856538,0.0,84.27613587863743,115.43993674404919,3.364103490486741,57.615612998604774
2,0.0,562.153894873336,6208.77817697078,0.0,0.0,80.67252078652382,0.0,526.8326269816607,577.4870603326708,164.7507050987333,56.732052747160196,63.09462429583073,42.27497857622802,18.08080594241619,79.12450541369617,52.768103279173374,28.071802839636803,35.20120058208704,166.04978659003973,49.89564131759107,38.38867543078959,53.959100026637316,4548.554137690924,9.835650405846536,59.838753901422024,53.72961953096092,2809.0806132052094,58.71589305996895,86.12760877236724,14.817540518939495,69.1170265674591,14.453681025654078,6.222638871520758,25.9120221324265,59.701210755854845,12.694733902812004,8.08822319842875,18.246020616963506,62.02232398465276,118.63762202113867,12.666017640382051,35.287731017917395,36.61217999458313,36.88193078059703,24.121826209127903,4.407356075942516,25.615257140249014,81.15355908498168,0.0,54.27768790349364,7.464129902422428,0.10673999786376953,98.00808838009834,47.183284300379455,377.1270632073283,0.0,91.75976055115461,100.05912363156676,11.81813596189022,117.80269467644393
3,0.0,1255.5658701043576,5915.671702655032,0.0,0.0,144.74541460210457,0.0,287.4470403138548,835.9344336446375,60.468349404633045,36.2455494441092,92.11211994290352,2.523572375997901,67.9297946114093,86.79462794808205,44.597306817770004,13.090803626924753,30.681938149034977,697.3821909688413,65.25711996201426,11.101578015834093,17.097136851400137,4357.083407099359,10.75837779045105,91.64191630110145,16.835556050762534,2183.3336850740016,37.9335597679019,125.35820589400828,10.491569809615612,82.96877898648381,18.50753683038056,28.832560889422894,44.14100765250623,7.551395379006863,2.4628100246191025,29.216063149273396,49.680965550243855,8.448586266487837,64.5560291968286,220.01993614062667,99.11602376028895,16.06891853362322,6.42262526601553,30.182448029518127,33.87553903833032,8.69384603202343,170.40538761764765,0.5517109930515289,104.70428593829274,5.448634747415781,0.0,144.626357158646,2.84230949357152,32.76089890860021,0.0,185.34255762957036,77.0482066012919,15.576228126883507,32.95069132000208
4,0.0,466.3972741421312,5928.618501443416,0.0,0.0,409.38365070614964,0.0,236.74207183346152,523.3967578336596,222.71349707245827,43.95284878835082,55.12252105772495,74.86522086150944,34.2151672616601,417.9870981685817,156.96513663604856,33.666868610307574,32.662488823756576,316.93942523980513,51.58875032886863,26.72619006410241,31.307551492005587,4102.921286126599,1.115519292652607,75.21378626674414,21.722638349980116,2593.5247967420146,55.554652175400406,61.87208927050233,13.895026482641697,61.41315112821758,41.142702385783195,12.957047298550606,26.661548918113112,53.05224515683949,18.176535800099373,4.5435956455767155,41.96154914051294,47.53441436588764,432.19690896198153,8.503790762275457,13.883712965995073,5.766810320317745,44.5823772540316,35.3694822806865,11.931253971531987,26.363056182861328,86.47875135019422,4.366590067744255,63.59762569051236,0.6456046141684055,2.9992799758911133,330.46130979433656,38.81085568666458,335.3636097451672,0.0,147.19116021320224,91.44054623506963,8.794343620538712,16.461621925234795
5,0.0,942.3060275968164,6479.449959944934,0.0,0.0,148.7490326538682,0.0,260.3547138068825,723.7508841827512,48.69800374470651,105.74538155272603,81.32801181077957,72.8742071017623,29.36923047155142,28.653072603046894,49.36055113375187,11.459797754883766,68.75685094483197,201.4597002994269,54.70464200526476,10.427352081984282,43.246794655919075,3854.4576519206166,38.34750787168741,179.3946652263403,85.7687515411526,2459.8280064724386,101.62565859034657,162.5347578562796,12.385705012828112,101.91126577183604,21.578785553574562,14.166239898651838,34.523166516795754,39.448913767933846,28.067093186080456,109.9287351295352,19.877975970506668,58.23847985081375,55.82750725746155,61.74083198234439,33.25566282495856,24.720183577388525,34.31504528410733,10.558136209845543,9.547231156378984,25.815256495028734,126.43758389353752,0.301239013671875,87.83368271589279,1.026634007692337,1.226297028362751,211.38386653736234,37.1491587664932,200.66694360040128,0.0,138.525476526469,143.36353421024978,35.80012531578541,79.66234710812569
6,0.0,547.0127834510058,6030.510191012174,0.0,0.0,103.61641667596996,0.0,169.18862834759057,952.1291646938771,102.63295373693109,53.5078399553895,29.940281625837088,36.942600172013044,57.073957208544016,30.295975651592016,153.88252768293023,22.583904802799225,75.85739488527179,169.9907547533512,50.15065776929259,33.81029976159334,15.349560007452965,4353.521738594398,33.344268683344126,15.29239928163588,25.51316513866186,2436.163445485756,54.96589232981205,68.80067640170455,64.02073483169079,23.251173455268145,24.661799609661102,27.718838930130005,6.57302238419652,23.782882878556848,5.476746913045645,9.144819907844067,9.280599685385823,18.11813162267208,52.60879332572222,10.125479996204376,33.31294336915016,6.301788032054901,67.3465438913554,15.727062027901411,11.11821062117815,2.6000259667634964,183.62371164560318,0.0,125.57827675156295,4.421035423874855,1.0342479944229126,665.8718622550368,42.82740035653114,735.2631932683289,0.0,71.86082186922431,100.36642096750438,12.881190374493599,41.95391305349767
7,0.0,596.427253715694,6830.6818463131785,0.0,0.0,246.72443818114698,0.0,463.0352018456906,403.458922252059,160.87195523269475,17.533499244600534,17.372360549867153,28.219077602028847,38.97795572504401,176.0525502776727,54.98120462335646,23.126825543120503,43.38839393295348,487.42218245659024,138.103221796453,33.8104911390692,12.783171482384205,4259.043244350702,9.033974628895521,39.392024118453264,22.335937118157744,1656.5024296958,134.5745449513197,113.2767578586936,30.625357404351234,69.48750172555447,116.35171154141426,9.872148044407368,15.681182570755482,31.493033718317747,27.77997526153922,14.088376067578793,23.73250877391547,34.96773639321327,61.96677699126303,514.8528972100466,24.0638271830976,41.155831292271614,7.890834644436836,19.67808359861374,18.51813653483987,17.45092213153839,144.54536938853562,8.66731184720993,44.53837224654853,7.403692986816168,9.514621913433075,243.01940942183137,21.9868687056005,236.45980146713555,0.0,72.92523755505681,117.63116962462664,19.97669342905283,6.717982724308968
8,0.0,739.0929352622479,6951.6587101481855,0.0,0.0,212.3494111392647,0.0,333.0890292022377,763.2603753712028,122.37550223851576,33.18454170972109,62.50471992790699,78.89593399129808,21.533366817981005,146.59509529918432,89.71549364738166,16.87457667477429,46.193618305027485,543.0293702855706,69.32965756580234,5.476115833967924,24.011997435241938,3586.658289100975,22.7900552470237,50.26924985460937,119.7803751155734,2190.401600562036,88.7192424274981,44.778702698647976,7.78247001208365,91.13179806433618,9.519401677884161,23.339563460089266,41.442210488021374,32.23841083049774,62.07424509525299,1.8515086099505424,40.706857427954674,28.376890644431114,132.09439853020012,76.63608418032527,4.439773418009281,11.055052101612091,31.43735146522522,55.39230723306537,48.684465017169714,31.32197991013527,139.97644508816302,13.04960012435913,87.00623540766537,12.918405652046204,2.162730947136879,264.97403682023287,19.662191711366177,47.81344848871231,0.0,169.62300917692482,129.11610632948577,5.606421180069447,37.36178433895111
9,0.0,365.5828167106956,6757.061305448413,0.0,0.0,940.9026388898492,0.0,291.39786951988935,317.015415975824,140.29857398569584,46.29829912260175,38.450573951005936,12.294870931655169,19.06812852434814,39.68139027617872,66.07326713204384,16.993480749428272,98.44899632409215,195.56028434075415,143.15834114328027,4.99946092069149,30.15974221751094,3670.7064081691206,39.56410074979067,41.76990566775203,38.63932792842388,3048.775311719626,26.73933462239802,76.57564712688327,27.803866118192673,62.84607959538698,36.37397983297706,7.850350376218557,7.422707282006741,64.55338228680193,14.046089854091406,2.540721945464611,38.544711139053106,55.96739857271314,235.56607276946306,146.62651953101158,3.4578109197318554,4.47287805378437,40.03981284610927,60.200294241309166,16.355039842426777,7.700634021311998,166.91252695396543,3.6508588194847107,34.269256088882685,0.1728409081697464,1.0959700345993042,9.28169909864664,48.35612662136555,140.8656338006258,0.0,129.75178136117756,108.41231788881123,26.911477588117123,49.2217056825757
10,0.0,900.0287906397134,6307.019182143733,0.0,0.0,163.0772863868624,0.0,156.57837633788586,692.078454409726,215.47506556287408,56.206964537501335,31.960740115959197,19.90025387890637,20.109606142155826,54.8472000900656,32.86867989599705,14.342182585969567,36.484290443360806,158.508540998213,25.811618331819773,23.7318696975708,55.146846110001206,4643.488821595674,16.27298917993903,135.3335958570242,156.35235975123942,1844.3112409762107,72.05366057343781,56.817938355728984,7.691182442009449,153.06737794354558,20.254530668258667,39.89253524504602,20.06534002907574,30.019769825041294,27.894116399809718,30.923112846910954,5.6516144797205925,52.62022279575467,22.079348979517817,177.2442288696766,13.26825368218124,2.900057017803192,9.900887198746204,11.97113767825067,6.5064749754965305,30.307285459712148,162.11366800172254,8.471965119242668,154.62635273486376,4.613172095268965,0.7492567244917154,510.7914179060608,58.72514210641384,317.52859743498266,0.0,138.55953989177942,106.02070751227438,1.1441291309893131,9.526507217437029
